,user_id,movie_id,rating,timestamp,gender,age,occupation,zip,title,genres,for_testing
554278,3611,2046,3,966611001,M,25,2,84321,Flight of the Navigator (1986),Adventure|Children's|Sci-Fi,False
755795,161,2144,4,977221895,M,45,16,98107-2117,Sixteen Candles (1984),Comedy,False
977817,3308,2475,1,967992624,F,18,20,15701-1348,52 Pick-Up (1986),Action|Mystery|Thriller,False
6231,850,1197,3,975352443,M,35,0,60640,"Princess Bride, The (1987)",Action|Adventure|Comedy|Romance,False
118583,4476,480,2,965058197,M,45,1,50588,Jurassic Park (1993),Action|Adventure|Sci-Fi,False
210782,516,1136,3,976279381,F,56,14,55033,Monty Python and the Holy Grail (1974),Comedy,False
400499,3002,3160,5,997143417,M,45,11,90028,Magnolia (1999),Drama,False
987310,3834,250,3,966406580,M,18,2,02322,Heavyweights (1994),Children's|Comedy,False
756664,4277,175,5,970050394,M,35,16,98133,Kids (1995),Drama,False
351261,655,474,4,975706478,F,25,2,92629,In the Line of Fire (1993),Action|Thriller,False
954821,5140,3766,3,964878833,M,25,6,35205,Missing in Action (1984),Action|War,False
176352,3546,1968,3,967027963,M,25,20,41706,"Breakfast Club, The (1985)",Comedy|Drama,False
910417,2211,3655,4,974602471,M,45,6,01950,Blow-Out (La Grande Bouffe) (1973),Drama,False
476423,3611,1376,4,966610801,M,25,2,84321,Star Trek IV: The Voyage Home (1986),Action|Adventure|Sci-Fi,False
544877,2092,1302,4,978303440,M,56,1,49006,Field of Dreams (1989),Drama,False
29939,2935,1097,4,972177518,M,25,0,55126,E.T. the Extra-Terrestrial (1982),Children's|Drama|Fantasy|Sci-Fi,False
631962,3586,2664,4,966693696,M,35,20,60640,Invasion of the Body Snatchers (1956),Horror|Sci-Fi,False
316068,3483,3499,4,967497071,F,45,7,30260,Misery (1990),Horror,False
559933,690,2076,4,975584206,M,25,12,90717,Blue Velvet (1986),Drama|Mystery,False
652689,757,2989,4,975453644,M,25,12,97401,For Your Eyes Only (1981),Action,False
471211,3760,1371,3,966097380,M,50,0,55128,Star Trek: The Motion Picture (1979),Action|Adventure|Sci-Fi,False
925789,3524,43,3,970889489,F,25,0,83355,Restoration (1995),Drama,False
642685,1015,2010,4,975035433,M,35,3,11220,Metropolis (1926),Sci-Fi,False
854258,735,2748,3,975694451,M,25,14,04240,Allan Quartermain and the Lost City of Gold (1987),Action|Adventure,False
67586,5376,2628,4,960409674,M,25,17,94538,Star Wars: Episode I - The Phantom Menace (1999),Action|Adventure|Fantasy|Sci-Fi,False
499872,1291,2424,4,974791598,F,35,0,10011,You've Got Mail (1998),Comedy|Romance,False
881785,3067,280,5,970000316,F,25,0,02148,Murder in the First (1995),Drama|Thriller,False
391425,5896,2699,3,957458971,M,25,0,60657,Arachnophobia (1990),Action|Comedy|Sci-Fi|Thriller,False
652789,2276,2989,4,974561613,M,56,13,44143,For Your Eyes Only (1981),Action,False
160050,415,457,4,977500236,F,35,0,55406,"Fugitive, The (1993)",Action|Thriller,False
853293,3709,3157,4,966276099,M,25,12,89502,Stuart Little (1999),Children's|Comedy,False
294185,4725,551,4,963375798,M,35,5,96707-1321,"Nightmare Before Christmas, The (1993)",Children's|Comedy|Musical,False
622245,2903,2643,2,979421882,M,25,16,20850,Superman IV: The Quest for Peace (1987),Action|Adventure|Sci-Fi,False
302343,4796,1734,4,962985871,M,35,7,98103,My Life in Pink (Ma vie en rose) (1997),Comedy|Drama,False
892080,1908,3179,2,974850111,M,56,13,95129,Angela's Ashes (1999),Drama,False
34183,2663,3186,5,973458310,F,25,4,02215,"Girl, Interrupted (1999)",Drama,False
62943,5553,2194,3,959457742,M,35,3,29425,"Untouchables, The (1987)",Action|Crime|Drama,False
23269,6040,720,4,957717191,M,25,6,11106,Wallace & Gromit: The Best of Aardman Animation (1996),Animation,False
190746,2125,2997,5,974646534,M,35,3,46033,Being John Malkovich (1999),Comedy,False
312729,1172,2188,3,974867115,F,25,0,61801,54 (1998),Drama,False
665794,5874,1876,2,957562527,M,25,4,01002,Deep Impact (1998),Action|Drama|Sci-Fi|Thriller,False
93283,5845,1188,5,957802356,F,25,3,79411,Strictly Ballroom (1992),Comedy|Romance,False
933159,4026,1178,4,965517346,M,25,7,68164,Paths of Glory (1957),Drama|War,False
350294,2282,1573,4,978398068,M,50,2,32117,Face/Off (1997),Action|Sci-Fi|Thriller,False
693352,5167,2648,4,961898386,M,18,15,06114,Frankenstein (1931),Horror,False
875566,890,1474,2,975234309,M,18,4,92153,Jungle2Jungle (a.k.a. Jungle 2 Jungle) (1997),Children's|Comedy,False
953267,4169,1841,4,975805404,M,50,0,66048,"Gingerbread Man, The (1998)",Drama|Thriller,False
729079,4305,3917,4,970023828,F,45,17,27616,Hellraiser (1987),Horror,False
458109,666,2300,4,975642188,F,18,0,08540,"Producers, The (1968)",Comedy|Musical,False
998252,5323,2813,4,960848679,M,25,20,94122,"Source, The (1999)",Documentary,False
744743,955,1965,3,975132549,F,50,7,94941,Repo Man (1984),Comedy|Sci-Fi,False
315316,5481,2908,3,959866347,M,45,12,55449,Boys Don't Cry (1999),Drama,False
283060,438,1500,4,976246011,M,18,11,53705,Grosse Pointe Blank (1997),Comedy|Crime,False
662077,5282,2085,3,961095792,F,18,4,63146,101 Dalmatians (1961),Animation|Children's,False
271602,1759,1923,4,974787520,M,25,16,22112,There's Something About Mary (1998),Comedy,False
266709,5026,1704,3,962578499,M,25,17,92584,Good Will Hunting (1997),Drama,False
824322,3589,2921,2,966656253,F,45,0,80010,High Plains Drifter (1972),Western,False
593821,3885,2707,5,967650459,M,25,12,92728,Arlington Road (1999),Thriller,False
512547,4788,1200,4,962997685,M,35,7,85331,Aliens (1986),Action|Sci-Fi|Thriller|War,False
355321,2106,1393,4,975434767,F,18,20,495321,Jerry Maguire (1996),Drama|Romance,False
209859,1875,2115,4,975769108,M,35,12,94107,Indiana Jones and the Temple of Doom (1984),Action|Adventure,False
747940,5050,45,3,968205104,F,18,4,11024,To Die For (1995),Comedy|Drama,False
453102,1495,1282,3,974764504,M,18,0,77341,Fantasia (1940),Animation|Children's|Musical,False
681743,2051,2893,3,974662322,M,35,7,93906,Plunkett & MaCleane (1999),Action|Drama,False
332561,570,1569,4,976000855,M,25,4,33314,My Best Friend's Wedding (1997),Comedy|Romance,False
327503,541,364,5,976124775,F,18,4,5849574,"Lion King, The (1994)",Animation|Children's|Musical,False
922971,1980,1416,4,999664045,M,35,7,06460,Evita (1996),Drama|Musical,False
497708,524,3723,4,976169916,M,18,0,91320,Hamlet (1990),Drama,False
571815,881,1665,1,975263832,M,18,14,76401,Bean (1997),Comedy,False
579062,4789,3479,4,963006906,M,35,2,55104,Ladyhawke (1985),Adventure|Fantasy|Romance,False
644218,919,1077,4,975202766,F,35,1,92056,Sleeper (1973),Comedy|Sci-Fi,False
618744,2967,1092,2,971125965,M,25,0,94110,Basic Instinct (1992),Mystery|Thriller,False
302856,3770,3267,4,966048407,F,35,3,50322,"Mariachi, El (1992)",Action|Thriller,False
176811,5268,1968,5,961167842,F,25,2,68502,"Breakfast Club, The (1985)",Comedy|Drama,False
903661,1389,2788,5,974768946,M,25,17,19801,And Now for Something Completely Different (1971),Comedy,False
715714,3151,1438,5,968916492,F,25,0,92870,Dante's Peak (1997),Action|Thriller,False
486060,5453,3701,3,959928466,M,18,4,30305,Alien Nation (1988),Crime|Drama|Sci-Fi,False
669943,3280,3635,3,968349374,M,25,7,33486,"Spy Who Loved Me, The (1977)",Action,False
405121,5557,1358,5,959440138,M,35,14,33701,Sling Blade (1996),Drama|Thriller,False
884304,4962,2016,3,963094210,M,25,6,55439,"Apple Dumpling Gang Rides Again, The (1979)",Children's|Comedy|Western,False
942897,5605,3936,5,1003955729,F,18,2,95008,"Phantom of the Opera, The (1943)",Drama|Thriller,False
332234,3626,3524,3,966595989,M,25,17,75075,Arthur (1981),Comedy|Romance,False
579083,5046,3479,4,962499360,M,25,16,60614,Ladyhawke (1985),Adventure|Fantasy|Romance,False
87014,778,368,4,975436749,M,18,17,32694,Maverick (1994),Action|Comedy|Western,False
834499,569,1760,3,976238709,F,18,4,97339,Spice World (1997),Comedy|Musical,False
805673,1354,3949,5,974771331,F,25,2,94040,Requiem for a Dream (2000),Drama,False
843874,5333,1172,4,989021871,F,25,7,02332,Cinema Paradiso (1988),Comedy|Drama|Romance,False
636130,5545,2912,4,959491010,F,35,16,98072,"Limey, The (1999)",Action|Crime|Drama,False
775168,5854,278,2,958273949,M,45,7,33135,Miami Rhapsody (1995),Comedy,False
926918,5568,3444,5,959311195,M,18,4,49841,Bloodsport (1988),Action,False
504083,5885,1125,5,957487383,M,25,1,96930,"Return of the Pink Panther, The (1974)",Comedy,False
473009,5955,2174,4,957108406,F,25,7,34952,Beetlejuice (1988),Comedy|Fantasy,False
397242,3014,300,3,1013918443,M,35,7,06430,Quiz Show (1994),Drama,False
678655,1675,2019,4,975242715,F,25,6,97116,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Action|Drama,False
559797,5103,231,4,962413494,F,35,16,78222,Dumb & Dumber (1994),Comedy,False
408897,2887,2302,3,972155506,M,25,3,66205,My Cousin Vinny (1992),Comedy,False
470803,510,1371,4,976206001,M,18,12,55109,Star Trek: The Motion Picture (1979),Action|Adventure|Sci-Fi,False
410683,566,3253,4,976039346,M,25,17,92122,Wayne's World (1992),Comedy,False
771098,4725,3614,3,963364802,M,35,5,96707-1321,Honeymoon in Vegas (1992),Comedy|Romance,False
494102,3999,2407,3,965576021,M,35,17,30701,Cocoon (1985),Comedy|Sci-Fi,False
788373,1298,3686,4,974830268,M,35,6,33615,Flatliners (1990),Thriller,False
693466,4979,2649,1,962600344,M,35,2,55423,Son of Frankenstein (1939),Horror,False
716635,5333,2671,4,960825261,F,25,7,02332,Notting Hill (1999),Comedy|Romance,False
860685,3651,2986,2,966457583,M,25,14,98103,Robocop 2 (1990),Action|Crime|Sci-Fi,False
676338,1879,1499,1,974817657,M,25,4,29732,Anaconda (1997),Action|Adventure|Thriller,False
455542,169,2087,4,1018706072,M,25,7,55439,Peter Pan (1953),Animation|Children's|Fantasy|Musical,False
43474,5406,1,5,960304768,F,35,0,49504,Toy Story (1995),Animation|Children's|Comedy,False
366846,4790,1059,4,970349952,F,25,2,94133,William Shakespeare's Romeo and Juliet (1996),Drama|Romance,False
521545,1737,539,4,976062478,M,35,20,46614,Sleepless in Seattle (1993),Comedy|Romance,False
183626,1194,1641,4,1036310062,F,25,1,95617,"Full Monty, The (1997)",Comedy,False
596143,4609,160,3,964165757,F,25,4,53951,Congo (1995),Action|Adventure|Mystery|Sci-Fi,False
705963,2743,3273,3,973218965,M,25,14,72601,Scream 3 (2000),Horror|Mystery|Thriller,False
732521,4447,3435,4,965088469,M,45,5,32953,Double Indemnity (1944),Crime|Film-Noir,False
593725,3147,2707,4,968963692,M,25,14,49355,Arlington Road (1999),Thriller,False
894892,5605,309,3,959216139,F,18,2,95008,"Red Firecracker, Green Firecracker (1994)",Drama,False
265582,601,1704,4,975883762,F,18,20,06320,Good Will Hunting (1997),Drama,False
453447,3834,1282,4,966371619,M,18,2,02322,Fantasia (1940),Animation|Children's|Musical,False
913663,873,2130,4,975273353,M,56,6,19027,Atlantic City (1980),Crime|Drama|Romance,False
596752,737,2724,1,1037423329,M,1,19,53711,Runaway Bride (1999),Comedy|Romance,False
359382,3056,2702,2,970123983,M,25,18,10309,Summer of Sam (1999),Drama,False
137677,4099,593,4,965416025,M,35,17,94954,"Silence of the Lambs, The (1991)",Drama|Thriller,False
469635,3111,333,5,969480628,M,18,4,56520,Tommy Boy (1995),Comedy,False
420643,1505,3359,4,983671411,M,50,11,90041,Breaking Away (1979),Drama,False
351690,3377,474,4,967587781,M,25,17,03570,In the Line of Fire (1993),Action|Thriller,False
942786,101,3936,5,977577763,F,18,3,33314,"Phantom of the Opera, The (1943)",Drama|Thriller,False
900650,3641,382,4,966484050,M,25,0,92008,Wolf (1994),Drama|Horror,False
356493,1776,1682,5,974700311,M,25,0,45801,"Truman Show, The (1998)",Drama,False
912654,2909,3316,5,971971636,M,25,7,43228,Reindeer Games (2000),Action|Thriller,False
541051,1748,2967,3,994585241,M,50,1,04240,"Bad Seed, The (1956)",Drama|Thriller,False
804183,4508,3836,4,965012525,M,25,20,15701,Kelly's Heroes (1970),Action|Comedy|War,False
642848,3474,2010,5,967133157,M,35,11,10538,Metropolis (1926),Sci-Fi,False
376657,245,3259,3,976734753,M,35,16,66046,Far and Away (1992),Drama|Romance,False
902291,3807,3919,2,1013347150,F,35,19,32095,Hellraiser III: Hell on Earth (1992),Horror,False
276533,3341,2159,5,967798996,M,25,20,91730,Henry: Portrait of a Serial Killer (1990),Crime|Horror,False
229807,4183,39,1,965330412,M,25,1,91730,Clueless (1995),Comedy|Romance,False
760616,2340,468,4,974423594,M,35,2,48104,"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)",Comedy|Romance,False
252539,5520,52,3,962069828,M,45,1,18901,Mighty Aphrodite (1995),Comedy,False
883615,5256,376,3,961271052,M,25,16,30269,"River Wild, The (1994)",Action|Thriller,False
768875,2106,673,3,975131026,F,18,20,495321,Space Jam (1996),Adventure|Animation|Children's|Comedy|Fantasy,False
782560,3031,2420,5,970362003,M,18,4,48135,"Karate Kid, The (1984)",Drama,False
63891,2986,648,3,970812419,M,25,4,24060,Mission: Impossible (1996),Action|Adventure|Mystery,False
56298,3894,3114,5,965789543,M,35,16,02139,Toy Story 2 (1999),Animation|Children's|Comedy,False
463117,1311,2091,1,974786043,M,18,10,90274,Return from Witch Mountain (1978),Children's|Sci-Fi,False
74286,4055,1687,2,965491267,M,50,0,98826,"Jackal, The (1997)",Action|Thriller,False
527715,2742,2011,3,973220691,M,25,17,36092,Back to the Future Part II (1989),Comedy|Sci-Fi,False
383139,301,2688,2,976505405,M,18,4,61820,"General's Daughter, The (1999)",Drama|Thriller,False
276902,5848,1643,4,957785077,M,50,20,20009,"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",Drama|Romance,False
863128,919,3251,5,975206365,F,35,1,92056,Agnes of God (1985),Drama|Mystery,False
650202,4886,1748,5,962743721,F,35,17,92509,Dark City (1998),Film-Noir|Sci-Fi|Thriller,False
894994,678,177,4,989241065,M,25,0,34952,Lord of Illusions (1995),Horror,False
533888,4788,541,5,962997649,M,35,7,85331,Blade Runner (1982),Film-Noir|Sci-Fi,False
529134,3965,2012,3,965669050,M,18,11,65202,Back to the Future Part III (1990),Comedy|Sci-Fi|Western,False
810126,1100,946,1,974925438,M,25,0,60090,To Be or Not to Be (1942),Comedy|Drama|War,False
84823,5605,1610,3,959570433,F,18,2,95008,"Hunt for Red October, The (1990)",Action|Thriller,False
419507,2629,428,4,973624609,M,25,11,15237,"Bronx Tale, A (1993)",Drama,False
170811,476,1784,4,976221107,M,35,0,55127,As Good As It Gets (1997),Comedy|Drama,False
724901,637,2794,1,975735438,M,35,12,97132,European Vacation (1985),Comedy,False
886630,4979,93,1,984546718,M,35,2,55423,Vampire in Brooklyn (1995),Comedy|Romance,False
804280,3242,3769,4,968347137,M,50,13,94089,Thunderbolt and Lightfoot (1974),Action,False
913504,1998,3789,3,976021504,F,50,9,24018,"Pawnbroker, The (1965)",Drama,False
855899,462,1924,2,976934727,M,18,16,55416,Plan 9 from Outer Space (1958),Horror|Sci-Fi,False
215217,4224,1214,4,965314005,F,45,1,48198,Alien (1979),Action|Horror|Sci-Fi|Thriller,False
769825,2751,1285,4,974817103,F,25,16,28120,Heathers (1989),Comedy,False
761018,1752,1663,4,975728634,M,25,3,96813,Stripes (1981),Comedy,False
897410,5172,1950,4,995328274,F,35,11,05602,In the Heat of the Night (1967),Drama|Mystery,False
375,1317,1193,4,974778736,M,45,7,98028,One Flew Over the Cuckoo's Nest (1975),Drama,False
131609,1616,1552,1,989848796,M,25,0,16101,Con Air (1997),Action|Adventure|Thriller,False
249735,5747,1046,5,958358656,M,25,0,03755,Beautiful Thing (1996),Drama|Romance,False
817851,5433,1333,3,960047360,F,35,17,45014,"Birds, The (1963)",Horror,False
529716,3371,2015,4,967667110,M,25,2,55405,"Absent Minded Professor, The (1961)",Children's|Comedy|Fantasy,False
650328,5801,1748,4,958012091,M,25,16,04103,Dark City (1998),Film-Noir|Sci-Fi|Thriller,False
794381,5978,3469,5,956958110,M,35,1,49307,Inherit the Wind (1960),Drama,False
166085,5090,3418,5,1011212601,F,35,19,75069,Thelma & Louise (1991),Action|Drama,False
398090,3513,1777,3,967477829,M,25,16,01890,"Wedding Singer, The (1998)",Comedy|Romance,False
503407,752,3593,1,996514845,F,25,3,97401,Battlefield Earth (2000),Action|Sci-Fi,False
675660,531,1562,2,994168280,F,18,14,22206,Batman & Robin (1997),Action|Adventure|Crime,False
951399,749,742,3,975460730,M,35,18,56303,Thinner (1996),Horror|Thriller,False
957871,1069,147,2,974943812,M,25,20,98105,"Basketball Diaries, The (1995)",Drama,False
67035,3993,2628,4,965590288,M,25,0,22015,Star Wars: Episode I - The Phantom Menace (1999),Action|Adventure|Fantasy|Sci-Fi,False
402528,4312,1060,4,965484054,M,25,18,78757,Swingers (1996),Comedy|Drama,False
613900,5812,2961,2,960878264,F,25,7,92120,"Story of Us, The (1999)",Comedy|Drama,False
181594,3367,1247,5,967646745,M,50,16,10025,"Graduate, The (1967)",Drama|Romance,False
376948,4579,3259,4,969751167,F,18,4,63332,Far and Away (1992),Drama|Romance,False
442873,5623,2140,3,959093431,M,25,11,84109,"Dark Crystal, The (1982)",Children's|Fantasy|Sci-Fi,False
418269,2754,1307,5,973195474,M,50,12,60148,When Harry Met Sally... (1989),Comedy|Romance,False
243140,2293,581,4,974509055,F,56,3,48130,"Celluloid Closet, The (1995)",Documentary,False
901812,4425,3764,1,965107061,M,35,7,98607,F/X 2 (1992),Action|Crime|Thriller,False
193339,3563,1291,5,966787708,M,25,2,33133,Indiana Jones and the Last Crusade (1989),Action|Adventure,False
55639,1343,3114,5,974774715,M,35,14,91324,Toy Story 2 (1999),Animation|Children's|Comedy,False
319108,3067,1897,5,969998261,F,25,0,02148,High Art (1998),Drama|Romance,False
614985,570,3261,2,976000855,M,25,4,33314,Singles (1992),Comedy|Drama|Romance,False
941688,4448,2210,5,986262313,M,25,14,06880,Sabotage (1936),Thriller,False
407650,777,3755,3,975519208,M,18,19,87543,"Perfect Storm, The (2000)",Action|Adventure|Thriller,False
970590,5550,2022,3,959623227,M,35,15,48187,"Last Temptation of Christ, The (1988)",Drama,False
318276,4334,32,4,965410844,M,25,1,70458,Twelve Monkeys (1995),Drama|Sci-Fi,False
977753,245,2475,3,976738045,M,35,16,66046,52 Pick-Up (1986),Action|Mystery|Thriller,False
840640,5277,3725,3,987207418,M,25,20,91740,American Pop (1981),Animation|Musical,False
974069,3816,2372,4,965954654,F,25,3,90020,Fletch Lives (1989),Comedy,False
476365,3299,1376,4,968036703,F,25,4,19119,Star Trek IV: The Voyage Home (1986),Action|Adventure|Sci-Fi,False
476530,4107,1376,3,965390375,F,25,0,23221,Star Trek IV: The Voyage Home (1986),Action|Adventure|Sci-Fi,False
773210,2523,2313,3,974065593,M,25,17,49423,"Elephant Man, The (1980)",Drama,False
751204,752,556,5,976220365,F,25,3,97401,"War Room, The (1993)",Documentary,False
754482,3091,3361,3,969657987,F,25,0,19107,Bull Durham (1988),Comedy,False
875659,4788,1474,3,963000062,M,35,7,85331,Jungle2Jungle (a.k.a. Jungle 2 Jungle) (1997),Children's|Comedy,False
86681,4387,902,5,965251930,F,18,4,63109,Breakfast at Tiffany's (1961),Drama|Romance,False
417178,3683,1233,5,966351017,M,25,2,30606,"Boat, The (Das Boot) (1981)",Action|Drama|War,False
137334,3340,593,5,967845886,M,45,16,48097,"Silence of the Lambs, The (1991)",Drama|Thriller,False
706393,1484,1694,4,974752823,M,25,12,07054,"Apostle, The (1997)",Drama,False
352802,2555,1221,5,973995536,M,56,7,10522,"Godfather: Part II, The (1974)",Action|Crime|Drama,False
660903,5607,3526,3,959190575,M,18,4,11209,Parenthood (1989),Comedy|Drama,False
962490,1505,3371,4,983671336,M,50,11,90041,Bound for Glory (1976),Drama,False
734883,3401,2642,1,967435903,M,35,7,76109,Superman III (1983),Action|Adventure|Sci-Fi,False
949989,4089,1128,3,965537204,M,25,7,79416,"Fog, The (1980)",Horror,False
388424,1352,1673,2,974771556,M,35,20,94122,Boogie Nights (1997),Drama,False
616730,4203,1805,3,965323362,M,25,18,58270,Wild Things (1998),Crime|Drama|Mystery|Thriller,False
193380,3691,1291,4,966308703,M,25,7,21030,Indiana Jones and the Last Crusade (1989),Action|Adventure,False
429453,4150,586,3,965352296,M,25,0,29672,Home Alone (1990),Children's|Comedy,False
892274,1100,1648,4,974925817,M,25,0,60090,"House of Yes, The (1997)",Comedy|Drama|Thriller,False
947172,4422,2121,3,965155282,M,25,5,10463,Cujo (1983),Horror|Thriller,False
990897,2438,3276,2,974228179,M,35,1,22903,Gun Shy (2000),Comedy,False
695505,4904,1373,5,962683849,M,50,15,63121,Star Trek V: The Final Frontier (1989),Action|Adventure|Sci-Fi,False
597441,1050,2581,2,974964198,M,25,1,97302,Never Been Kissed (1999),Comedy|Romance,False
705846,1470,3273,3,974839150,M,18,4,94118,Scream 3 (2000),Horror|Mystery|Thriller,False
458378,2915,2300,3,971751290,M,25,7,23423,"Producers, The (1968)",Comedy|Musical,False
126565,3436,2427,2,1037840607,M,35,0,98503,"Thin Red Line, The (1998)",Action|Drama|War,False
246629,2740,1909,4,973222805,M,45,17,22181,"X-Files: Fight the Future, The (1998)",Mystery|Sci-Fi|Thriller,False
68955,2054,2916,4,974662766,M,25,12,03110,Total Recall (1990),Action|Adventure|Sci-Fi|Thriller,False
50368,3942,1028,3,966381072,M,18,4,49855,Mary Poppins (1964),Children's|Comedy|Musical,False
840613,4277,3725,4,974635793,M,35,16,98133,American Pop (1981),Animation|Musical,False
812614,6010,1235,3,956855888,M,35,0,79606,Harold and Maude (1971),Comedy,False
61915,6000,647,4,956882489,M,45,17,30075,Courage Under Fire (1996),Drama|War,False
141599,2886,2571,5,972147857,M,18,4,60073,"Matrix, The (1999)",Action|Sci-Fi|Thriller,False
826589,5015,3169,4,962585104,M,35,6,92672,"Falcon and the Snowman, The (1984)",Drama,False
948773,2743,328,2,973223249,M,25,14,72601,Tales From the Crypt Presents: Demon Knight (1995),Horror,False
488811,2776,784,2,973055171,M,25,14,22205,"Cable Guy, The (1996)",Comedy,False
667906,5536,1882,1,959992352,M,25,16,67204,Godzilla (1998),Action|Sci-Fi,False
173332,208,318,4,984510372,M,35,17,55432,"Shawshank Redemption, The (1994)",Drama,False
600001,4748,832,3,966169586,M,45,16,60302,Ransom (1996),Drama|Thriller,False
440376,3630,592,4,966575046,M,18,4,77005,Batman (1989),Action|Adventure|Crime|Drama,False
216375,2125,1036,5,974943361,M,35,3,46033,Die Hard (1988),Action|Thriller,False
202209,3118,1378,3,969402470,M,25,0,77025,Young Guns (1988),Action|Comedy|Western,False
932714,4271,2971,4,965304008,M,35,7,83405,All That Jazz (1979),Musical,False
296450,4579,1517,3,969751358,F,18,4,63332,Austin Powers: International Man of Mystery (1997),Comedy,False
520421,5070,1135,2,963746761,M,25,2,55344,Private Benjamin (1980),Comedy,False
848457,4252,1616,3,965308331,F,35,3,28262,"Peacemaker, The (1997)",Action|Thriller|War,False
